pubchem_id,fema_flavor_profile
61771,"Mint, Cool"
61780,Fruit
61808,"Meat, Roast, Sulfur"
61809,Savory
61812,Not Available
61814,Fruit
61829,Savory
61834,Dairy
61835,Fruit
61840,Savory
61845,Savory
61874,Not Available
61875,Fruit
61914,Fruit
61918,Savory
61922,Fruit
61926,Savory
61935,Not Available
61936,Savory
61942,"Mint, Cool"
61945,Savory
61951,Savory
61953,Honey
61954,Not Available
61955,Fruit
61976,Green
61979,Savory
61980,Fruit
61982,Savory
61984,Floral
61985,Fruit
61988,Nuts
61989,Savory
61990,Fruit
61997,Floral
62000,Savory
62003,Savory
62007,Fruit
62013,"Durian, Fat, Fruit, Mango"
62017,Fruit
62024,Fruit
62069,Green
62074,Not Available
62087,Savory
62089,Savory
62090,Savory
62092,Floral
62095,"Mint, Cool"
62098,Fruit
62105,Savory
62106,Not Available
62117,Not Available
62126,Fruit
62128,Savory
62131,Not Available
62144,Savory
62145,Savory
62148,Savory
62151,"Mint, Cool"
62166,Fruit
62182,Savory
62183,Savory
62217,Fruit
62218,Green
62237,"Black Currant, Cat, Meat, Onion, Sulfur"
62321,Pear
62326,Savory
62328,Fruit
62332,Honey
62336,Fruit
62341,Fruit
62348,Dairy
62349,Not Available
62350,Not Available
62351,Savory
62362,Not Available
62367,"Mint, Cool"
62374,Floral
62375,Green
62378,Floral
62384,Savory
62385,"Citrus, Pine"
62424,Savory
62434,Green
62444,"Cabbage, Cheese, Garlic, Sulfur"
62445,Fruit
62453,Not Available
62465,"Clove, Phenol, Spice"
62469,Floral
62484,"Herb, Truffle"
62490,Fruit
62510,"Green, Nut, Roast, Roasted"
62539,Fat
62553,Floral
62572,"Marshmallow, Roasted Nut"
62578,Fruit
62580,Fruit
62583,Not Available
62592,Fruit
62653,Fruit
62654,Floral
62661,Green
62725,"Green, Tomato, Tomato Leaf, Wine"
62752,Savory
62835,"Cotton Candy, Curry, Maple, Savory, Spice"
62876,Green
62897,Savory
62900,"Butter, Cocoa, Coconut"
62901,Savory
62902,Fruit
62907,"Mint, Cool"
62908,Fruit
62911,Floral
62913,Savory
64685,"Camphor, Fragrant, Green, Polish@Camphor, Must"
65285,Savory
65288,Not Available
65289,Fruit
65290,Savory
65300,"Mint, Cool"
65413,"Black Currant, Fruit, Melon"
65425,Savory
65427,Not Available
65428,"Mint, Cool"
65575,Not Available
66828,Not Available
68057,Not Available
68148,Not Available
68481,Not Available
68482,Fruit
68490,Not Available
68960,Green
68972,Not Available
69320,Savory
69350,Green
69415,Green
69816,Not Available
69963,Green
71544,Floral
72281,Not Available
73111,Not Available
73750,"Cabbage, Cheese, Garlic, Sulfur"
73885,Not Available
74008,Green
74096,Green
74786,Heat
75263,Savory
75515,"Cabbage, Fruit, Green, Onion, Sulfur"
75552,Not Available
76152,Not Available
76326,Not Available
76654,Green
76922,Floral
77151,"Green, Onion, Roasted"
77837,Nuts
77932,"Durian, Onion, Roasted Onion, Sulfur, Tropical Fruit"
78120,Green
78126,Rubber
78151,Green
78152,Not Available
78160,Cabbage
78199,"Fruit, Green, Onion, Radish, Sulfur"
78484,Floral
78879,Not Available
78925,Savory
78941,"Mint, Cool"
79023,Not Available
79045,Not Available
79086,Green
79105,Not Available
79803,Not Available
80024,Savory
80046,"Durian, Leek, Onion, Roasted Onion, Sulfur"
80354,Fruit
80455,Nuts
80606,Not Available
80796,Not Available
81045,Fruit
81221,Spice
81263,Floral
82227,Not Available
82229,Floral
82336,Fruit
82635,Green
83036,Fruit
84216,Fruit
84234,Floral
84532,Not Available
84559,Green
84825,Mint
85519,"Asparagus, Cabbage, Herb, Mushroom, Potato"
85520,"Cheese, Mushroom, Sulfur"
85522,"Cooked potato, Garlic, Roasted Nut"
85730,Not Available
86015,Fruit
86016,Fruit
86094,Fruit
86559,Not Available
86608,Not Available
86733,Floral
87436,"Horseradish, Mustard"
87466,Green
87793,Savory
87813,Floral
87947,Fruit
88290,"Black Currant, Box Tree, Cat, Citrus, Meat"
88454,Fruit
89306,Fruit
89307,Fruit
89755,Not Available
90246,Dairy
90716,Not Available
90972,Savory
90984,Savory
91354,Not Available
91457,Not Available
91558,Not Available
92138,Not Available
92231,Not Available
92313,Not Available
92649,Fruit
92762,Not Available
92780,Spice
92972,Not Available
93046,Not Available
93081,Not Available
93236,Savory
93366,Green
93838,Fruit
94217,Not Available
94254,Not Available
94314,Savory
94579,Not Available
94886,Fruit
95086,Fruit
95337,Not Available
95392,Fruit
95397,Floral
95457,Savory
95495,Not Available
95572,Fruit
96923,Not Available
97895,Fruit
98043,Not Available
98251,Not Available
98330,Savory
98461,Fruit
98497,Green
100031,Not Available
101003,Savory
101010,Green
101365,Fruit
101536,Nuts
101549,Floral
101716,Not Available
102024,Not Available
102550,Fruit
102604,Floral
102611,Not Available
102648,"Mint, Cool"
102667,Green
102861,Fruit
102916,Not Available
102993,Green
