Recipe ID,Recipe Name,shared_molecule_Compound_ID,Compound_CAS_Number
R000004,Bubble and Squeak,798,111-27-3
R000004,Bubble and Squeak,800,109-94-4
R000004,Bubble and Squeak,292,111-87-5
R000004,Bubble and Squeak,295,93-15-2
R000004,Bubble and Squeak,811,544-63-8
R000004,Bubble and Squeak,301,106-32-1
R000004,Bubble and Squeak,818,3188-00-9
R000004,Bubble and Squeak,822,90-02-8
R000004,Bubble and Squeak,827,497-03-0
R000004,Bubble and Squeak,317,141-78-6
R000004,Bubble and Squeak,322,67-64-1
R000004,Bubble and Squeak,841,32736-91-7
R000004,Bubble and Squeak,847,119-36-8
R000004,Bubble and Squeak,340,90-12-0
R000004,Bubble and Squeak,867,101-41-7
R000004,Bubble and Squeak,357,79-31-2
R000004,Bubble and Squeak,358,334-48-5
R000004,Bubble and Squeak,871,23747-48-0
R000004,Bubble and Squeak,361,586-62-9
R000004,Bubble and Squeak,890,14667-55-1
R000004,Bubble and Squeak,893,600-14-6
R000004,Bubble and Squeak,384,116-53-0
R000004,Bubble and Squeak,909,110-43-0
R000004,Bubble and Squeak,398,108-29-2
R000004,Bubble and Squeak,400,111-70-6
R000004,Bubble and Squeak,913,107-92-6
R000004,Bubble and Squeak,918,107-87-9
R000004,Bubble and Squeak,920,2628-17-3
R000004,Bubble and Squeak,922,104-76-7
R000004,Bubble and Squeak,410,25152-84-5
R000004,Bubble and Squeak,926,108-50-9
R000004,Bubble and Squeak,927,83-34-1
R000004,Bubble and Squeak,241,706-14-9
R000004,Bubble and Squeak,424,3777-69-3
R000004,Bubble and Squeak,431,99999-08-0
R000004,Bubble and Squeak,434,115-95-7
R000004,Bubble and Squeak,435,36653-82-4
R000004,Bubble and Squeak,158,112-80-1
R000004,Bubble and Squeak,442,7212-44-4
R000004,Bubble and Squeak,671,64-19-7
R000004,Bubble and Squeak,445,123-15-9
R000004,Bubble and Squeak,958,123-72-8
R000004,Bubble and Squeak,620,94-59-7
R000004,Bubble and Squeak,972,1669-44-9
R000004,Bubble and Squeak,466,108-39-4
R000004,Bubble and Squeak,980,6032-29-7
R000004,Bubble and Squeak,761,928-96-1
R000004,Bubble and Squeak,985,100-42-5
R000004,Bubble and Squeak,990,620-02-0
R000004,Bubble and Squeak,490,7783-06-04
R000004,Bubble and Squeak,1004,123-38-6
R000004,Bubble and Squeak,1012,99-87-6
R000004,Bubble and Squeak,1013,110-62-3
R000004,Bubble and Squeak,1015,106-25-2
R000004,Bubble and Squeak,1018,112-37-8
R000004,Bubble and Squeak,1023,623-36-9
R000005,Fish and Chips,512,123-29-5
R000005,Fish and Chips,519,93-58-3
R000005,Fish and Chips,524,124-07-2
R000005,Fish and Chips,1040,60-12-8
R000005,Fish and Chips,1049,67-63-0
R000005,Fish and Chips,602,470-82-6
R000005,Fish and Chips,37,122-00-9
R000005,Fish and Chips,550,13925-00-3
R000005,Fish and Chips,1064,108-95-2
R000005,Fish and Chips,554,124-19-6
R000005,Fish and Chips,556,123-32-0
R000005,Fish and Chips,1069,515-00-4
R000005,Fish and Chips,56,123-92-2
R000005,Fish and Chips,1082,143-08-8
R000005,Fish and Chips,1091,93-89-0
R000005,Fish and Chips,1092,99-85-4
R000005,Fish and Chips,586,78-70-6
R000005,Fish and Chips,1102,543-49-7
R000005,Fish and Chips,595,111-13-7
R000005,Fish and Chips,599,75-18-3
R000005,Fish and Chips,90,89-78-1
R000005,Fish and Chips,954,106-24-1
R000005,Fish and Chips,108,78-84-2
R000005,Fish and Chips,628,99-86-5
R000005,Fish and Chips,118,821-55-6
R000005,Fish and Chips,136,123-51-3
R000005,Fish and Chips,620,94-59-7
R000005,Fish and Chips,143,35044-68-9
R000005,Fish and Chips,657,124-13-0
R000005,Fish and Chips,667,15707-23-0
R000005,Fish and Chips,794,689-67-8
R000005,Fish and Chips,158,112-80-1
R000005,Fish and Chips,671,64-19-7
R000005,Fish and Chips,673,123-35-3
R000005,Fish and Chips,675,18409-17-1
R000005,Fish and Chips,165,97-53-0
R000005,Fish and Chips,166,112-30-1
